_id,id,category_name,subcategory_name,subsubcategory,rating,url,name,address,latitude,longitude,price,GoodFor,Duration,geo_cluster,category_encoded,cluster,distance_to_centroid
693153bff76f2835c1ab8c51,0,Historical and Arts,Musuems,History Musuems,5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/2a/65/23/musee-militaire-de-tunisie.jpg?w=600&h=-1&s=1,National military museum,"l'Avenue Habib Bourguiba, Manouba 2010",36.8113162,10.0986952,free,Families with children,<1 hour,0,0,2,0.516993685648329
693153bff76f2835c1ab8c52,1,Historical and Arts,Musuems,History Musuems,5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/30/4c/b8/d7/caption.jpg?w=1100&h=600&s=1,Museum of the Currency,"Ave Mohamed V, Tunis",36.8046603,10.1850565,free,Families with children,<1 hour,0,0,2,0.03737582460044309
693153bff76f2835c1ab8c53,2,Historical and Arts,Musuems,Art Galleris,5,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyAtAA30LTWYBlEXe6ivVX872PsSv6sCIcFyQsc-sAWw4e_YjEvCeui9tDW9Knu3OkUK7OKNvvg2H2xuPQw_DFafU7jF5jVDCyGzHWbOPBVqHcSjLwYMnCT29-nkBFUaHInxD8x=s1360-w1360-h1020-rw,Roumouz,45 bis Rue Jamaa Ez Zitouna dans la Médina de Tunis,36.81897,10.16579,free,Families with children,<1 hour,0,0,2,0.14296617377522683
693153bff76f2835c1ab8c54,3,Historical and Arts,Musuems,Speciality Musuems,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/31/9c/a1/c0/caption.jpg?w=1100&h=600&s=1,Dar Bach Hamba,"Q5WF+H93, Rue Kouttab Ouazir, Tunis",36.7962024,10.1734247,free,Families with children,<1 hour,0,0,0,0.0705667349025165
693153bff76f2835c1ab8c55,4,Historical and Arts,Musuems,Art Galleris,5,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/13/a1/08/maison-de-l-image.jpg?w=1000&h=-1&s=1,Maison de l'Image,"40 Rue Tarak Ibn Ziad, Tunis 1086",36.8388525,10.1678383,free,Families with children,1 - 2 hour,0,0,2,0.16438782976861174
693153bff76f2835c1ab8c56,5,Historical and Arts,Musuems,Art Musuems,4,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwvW-12SkMzWKrfoECPZ_ox_ulOtgJVOG2w3yHVknZyaFYteyk6V7DAFJQDcmZenMzckikXq_pt_Ki0oQ9SOhzbGOdf6nO9YgPChbSeV0wZLL8GyO05pCSI6VePOKq77_3vcfC1=s1360-w1360-h1020-rw,Musee des Arts et Traditions Populaires Dar Ben Abdallah,"Dar Ben Abdallah, Rue Sidi Kacem, Tunis",36.81897,10.16579,free,Families with children,1 - 2 hour,0,0,0,0.09588733186097963
693153bff76f2835c1ab8c57,6,Historical and Arts,Musuems,Art Galleris,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/7b/e0/de/casbah-d-alger-la-ruelle.jpg?w=1000&h=-1&s=1,Gallery Gorgi,"3, rue Sidi El Ghemrini? 2026",36.8709608,10.3469817,free,Families with children,1 - 2 hour,2,0,4,0.5311987181977406
693153bff76f2835c1ab8c58,7,Historical and Arts,Musuems,Art Galleris,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/b7/63/bb/rue-mohamed-el-kalaii.jpg?w=600&h=-1&s=1,Caliga's space,"43 Rue Abou Loubéba Al Ansari, Ariana",36.86012,10.19337,free,Families with children,<1 hour,0,0,0,0.1977288517660801
693153bff76f2835c1ab8c59,8,Historical and Arts,Musuems,Art Musuems,4,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/26/50/2c/3a/salle-d-exposition-du.jpg?w=1000&h=-1&s=1,Macam Tunis,"Avenue Mohamed V, cité de la culture, Tunis 1001",36.8105541,10.1864568,free,Families with children,>3 hour,0,0,0,0.10309439389186946
693153bff76f2835c1ab8c5a,9,Historical and Arts,Musuems,Speciality Musuems,4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTfOxdhT2RtvOgk4KdIYoFEm-vkTY_mUfeFYg&s,Postal museum,"29 Rue Jamel Abdenasser, Tunis",36.7963738,10.1787899,free,Families with children,<1 hour,0,0,0,0.07558440315759002
